Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
OR07,102915.12,7242,Admin Svcs Mgr,Fire,Fulltime,Officials and administrators,F,White,1964,1988-06-16,Y,Davidson,2024,60,60-64,1988,36
TG09,48883.54,10849,Maintenance & Repair Worker Se,Water Services,Fulltime,Service/Maintenance,M,White,1966,1988-06-20,N,Davidson,2024,58,55-59,1988,36
OR09,94883.83,11207,Water Services Manager,Water Services,Fulltime,Professionals,M,Black,1965,1988-06-20,Y,Davidson,2024,59,55-59,1988,36
OR07,89778.23,7242,Admin Svcs Mgr,Sheriff,Fulltime,Officials and administrators,F,White,1966,1988-07-01,Y,Wilson,2024,58,55-59,1988,36
OR07,101802.68,11272,Transportation Superintendent,NDOT,Fulltime,Officials and administrators,M,Black,1966,1988-08-26,Y,Davidson,2024,58,55-59,1988,36
OR05,87656.13,7245,Admin Svcs Officer 4,Human Resources,Fulltime,Professionals,F,Black,1967,1988-08-26,Y,Sumner,2024,57,55-59,1988,36
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,Black,1958,1988-09-01,N,Davidson,2024,66,65-69,1988,36
FD11A,142808.86,10712,Fire Commander,Fire,Fulltime,Officials and administrators,M,White,1963,1988-09-01,Y,Davidson,2024,61,60-64,1988,36
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1963,1988-09-01,N,Davidson,2024,61,60-64,1988,36
FD09,122802.16,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1965,1988-09-01,Y,Davidson,2024,59,55-59,1988,36
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1965,1988-09-01,N,Robertson,2024,59,55-59,1988,36
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1966,1988-09-01,N,Sumner,2024,58,55-59,1988,36
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1965,1988-09-01,N,Davidson,2024,59,55-59,1988,36
OR13,184773.26,10469,General Services Assistant Dir,General Services,Fulltime,Officials and administrators,M,White,1969,1988-09-01,Y,Rutherford,2024,55,55-59,1988,36
OR05,87656.13,7245,Admin Svcs Officer 4,Human Resources,Fulltime,Professionals,F,White,1962,1988-09-26,Y,Davidson,2024,62,60-64,1988,36
ST09,57179.85,7768,Circulation Supv,Public Library,Fulltime,Paraprofessionals,F,Black,1961,1988-10-01,N,Davidson,2024,63,60-64,1988,36
OR11,149506.3,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,F,White,1966,1988-10-01,Y,Dickson,2024,58,55-59,1988,36
FD09,122802.16,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1963,1988-10-16,Y,Cheatham,2024,61,60-64,1988,36
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1964,1988-10-16,N,Cheatham,2024,60,60-64,1988,36
OR03,72445.0,7380,Program Spec 3,Health,Fulltime,Professionals,F,Black,1951,1988-11-01,N,Davidson,2024,73,70-74,1988,36
OR08,113468.17,11310,Time Comp and Releasing Manager-DCSO,Sheriff,Fulltime,Professionals,M,White,1963,1988-11-01,Y,Williamson,2024,61,60-64,1988,36
OR11,124512.47,10887,Information Systems Advisor 3,Emergency Communications,Fulltime,Officials and administrators,M,White,1967,1988-11-01,Y,Davidson,2024,57,55-59,1988,36
OR05,84029.66,10742,Health Manager 1,Health,Fulltime,Professionals,F,Black,1958,1988-11-16,Y,Davidson,2024,66,65-69,1988,36
OR06,91056.44,7265,Info Sys Comm Analyst 3,Information Technology Services,Fulltime,Professionals,M,White,1965,1988-11-16,Y,Davidson,2024,59,55-59,1988,36
TS16,89437.11,11208,Water Services Superintendent,Water Services,Fulltime,Professionals,M,Black,1967,1988-11-28,Y,Davidson,2024,57,55-59,1988,36
OR06,100059.21,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1960,1988-12-01,N,Davidson,2024,64,60-64,1988,36
ST09,65588.44,7241,Admin Asst,Juvenile Court,Fulltime,Administrative support,F,White,1960,1988-12-16,N,Davidson,2024,64,60-64,1988,36
ST09,63906.71,7241,Admin Asst,Water Services,Fulltime,Administrative support,F,Black,1960,1989-01-16,N,Davidson,2024,64,60-64,1989,35
TS16,86832.15,11208,Water Services Superintendent,Water Services,Fulltime,Professionals,M,White,1965,1989-01-16,Y,Marshall,2024,59,55-59,1989,35
ST09,63906.71,10103,Application Tech 3,Water Services,Fulltime,Administrative support,M,White,1961,1989-01-16,N,Davidson,2024,63,60-64,1989,35
OR05,69086.42,7245,Admin Svcs Officer 4,County Clerk,Fulltime,Professionals,F,White,1964,1989-02-21,N,Davidson,2024,60,60-64,1989,35
FD09B,122698.0,1686,Fire District Chief,Fire,Fulltime,Professionals,F,White,1964,1989-03-20,Y,Cheatham,2024,60,60-64,1989,35
CO02,65015.7,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1966,1989-03-27,N,Davidson,2024,58,55-59,1989,35
NS,101147.89,6303,Supervisor Clerk & Maste,Clerk and Master,Fulltime,Administrative support,F,White,1960,1989-03-30,Y,Cheatham,2024,64,60-64,1989,35
NS,62899.44,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,White,1961,1989-04-01,N,Sumner,2024,63,60-64,1989,35
OR03,60610.64,5923,Special Programs Coord,Parks,Fulltime,Professionals,M,Black,1974,1989-05-18,Y,Robertson,2024,50,50-54,1989,35
ST10,70587.67,10955,Utility Compliance Inp 2,Water Services,Fulltime,Technicians,M,Black,1969,1989-05-30,N,Davidson,2024,55,55-59,1989,35
ST10,66873.03,10961,Utility Engineer Tech Sr,Water Services,Fulltime,Technicians,M,White,1970,1989-06-05,Y,Cheatham,2024,54,50-54,1989,35
NS,62111.76,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,White,1958,1989-08-01,N,Davidson,2024,66,65-69,1989,35
ST11,73639.07,6686,Sheriff Warrant Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1964,1989-08-01,N,Davidson,2024,60,60-64,1989,35
SP01,15940.08,3445,School Crossing Guard,Police,Parttime,Protective service workers,F,White,1959,1989-08-16,N,Davidson,2024,65,65-69,1989,35
ST11,69548.92,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,F,White,1968,1989-09-16,N,Davidson,2024,56,55-59,1989,35
SP01,15940.08,3445,School Crossing Guard,Police,Parttime,Protective service workers,F,Black,1953,1989-09-16,N,Davidson,2024,71,70-74,1989,35
OR04,79774.33,7756,Technical Specialist 1,Water Services,Fulltime,Professionals,M,White,1966,1989-10-16,N,Davidson,2024,58,55-59,1989,35
OR06,92260.87,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1964,1989-10-23,Y,Robertson,2024,60,60-64,1989,35
ST09,62224.99,7241,Admin Asst,Circuit Court Clerk,Fulltime,Administrative support,F,Black,1964,1989-11-01,N,Davidson,2024,60,60-64,1989,35
MAC01,54087.04,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1958,1989-11-06,N,Davidson,2024,66,65-69,1989,35
NS,72960.96,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,F,White,1965,1989-11-16,N,Williamson,2024,59,55-59,1989,35
LP01,16963.69,5070,Library Page,Public Library,Parttime,Paraprofessionals,F,White,1951,1989-12-26,N,Davidson,2024,73,70-74,1989,35
OR04,68034.35,6116,Appraiser Analyst 3,Assessor of Property,Fulltime,Professionals,F,White,1968,1990-01-01,N,Davidson,2024,56,55-59,1990,34
OR10,140467.12,7782,Info Systems Mgr,Police,Fulltime,Officials and administrators,M,Hispanic,1959,1990-01-16,Y,Williamson,2024,65,65-69,1990,34
NS,72185.04,10816,Satellite position,Circuit Court Satellite,Fulltime,Professionals,M,White,1965,1990-01-22,N,Davidson,2024,59,55-59,1990,34
TS16,86832.15,11208,Water Services Superintendent,Water Services,Fulltime,Professionals,M,Black,1963,1990-02-01,Y,Davidson,2024,61,60-64,1990,34
OR03,65125.76,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,F,Black,1960,1990-02-16,N,Davidson,2024,64,60-64,1990,34
ST08,58602.46,10124,Office Support Spec 2,Water Services,Fulltime,Administrative support,F,Black,1963,1990-02-16,N,Davidson,2024,61,60-64,1990,34
OR06,92994.37,7783,Info Systems App Analyst 3,Water Services,Fulltime,Professionals,F,White,1960,1990-03-01,Y,Davidson,2024,64,60-64,1990,34
OR10,112024.14,6232,Finance Mgr,Finance,Fulltime,Officials and administrators,M,White,1966,1990-03-01,Y,Sumner,2024,58,55-59,1990,34
TG12,54118.08,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,White,1968,1990-03-02,N,Cheatham,2024,56,55-59,1990,34
FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1964,1990-03-16,N,Sumner,2024,60,60-64,1990,34
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1960,1990-03-16,N,Hickman,2024,64,60-64,1990,34
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1964,1990-03-16,N,Montgomery,2024,60,60-64,1990,34
FD07,98533.37,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1965,1990-03-16,N,Robertson,2024,59,55-59,1990,34
FD07B,110806.11,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1965,1990-03-16,N,Rutherford,2024,59,55-59,1990,34
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1961,1990-03-16,N,Wilson,2024,63,60-64,1990,34
PS09B,220580.06,10154,Police Dpty Chief,Police,Fulltime,Officials and administrators,M,White,1967,1990-04-01,Y,Wilson,2024,57,55-59,1990,34
OR07,109179.06,7242,Admin Svcs Mgr,District Attorney,Fulltime,Officials and administrators,M,Black,1961,1990-06-01,Y,Davidson,2024,63,60-64,1990,34
OR10,125758.61,7407,Information Systems Advisor 2,Information Technology Services,Fulltime,Officials and administrators,M,White,1971,1990-06-04,Y,Davidson,2024,53,50-54,1990,34
OR13,183543.57,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,M,Hispanic,1965,1990-06-16,Y,Davidson,2024,59,55-59,1990,34
OR03,72445.0,7244,Admin Svcs Officer 3,Water Services,Fulltime,Professionals,F,Black,1957,1990-07-01,N,Davidson,2024,67,65-69,1990,34
OR04,79774.33,11215,Enviromental Health Specialist Sr,Health,Fulltime,Professionals,F,Black,1965,1990-08-13,N,Davidson,2024,59,55-59,1990,34
ST11,79774.33,7720,Admin Spec,District Attorney,Fulltime,Administrative support,F,White,1958,1990-08-15,Y,Davidson,2024,66,65-69,1990,34
OR04,75575.27,6116,Appraiser Analyst 3,Assessor of Property,Fulltime,Professionals,M,Black,1958,1990-08-16,N,Davidson,2024,66,65-69,1990,34
SS01,42706.77,3447,School Crossing Guard Supv,Police,Parttime,Protective service workers,F,White,1963,1990-08-16,N,Davidson,2024,61,60-64,1990,34
OR07,113468.17,7242,Admin Svcs Mgr,Sheriff,Fulltime,Officials and administrators,F,White,1968,1990-09-01,Y,Cheatham,2024,56,55-59,1990,34
NS,204552.0,2233,General Session Judge,General Sessions Court,Elected,Officials and administrators,M,White,1956,1990-09-01,Y,Davidson,2024,68,65-69,1990,34
OR05,87656.13,5495,Probation Officer 3,General Sessions Court,Fulltime,Professionals,M,White,1961,1990-09-01,Y,Williamson,2024,63,60-64,1990,34
ST11,63413.67,7720,Admin Spec,Assessor of Property,Fulltime,Administrative support,F,White,1971,1990-09-16,N,Davidson,2024,53,50-54,1990,34
OR10,146898.9,7782,Info Systems Mgr,Assessor of Property,Fulltime,Officials and administrators,M,White,1961,1990-10-01,Y,Davidson,2024,63,60-64,1990,34
OR05,86074.57,7377,Program Mgr 2,Public Defender,Fulltime,Officials and administrators,F,White,1963,1990-10-15,Y,Williamson,2024,61,60-64,1990,34
MAC11A,95363.12,10253,Transportation Mgr,Metro Action Commission,Fulltime,Service/Maintenance,M,Black,1970,1990-10-29,Y,Sumner,2024,54,50-54,1990,34
OR04,74618.35,10963,Utility Envir Comp Officer 2,Water Services,Fulltime,Professionals,F,Black,1954,1990-12-01,N,Davidson,2024,70,70-74,1990,34
OR03,66900.21,11250,Accounts Payable Specialist 2,Finance,Fulltime,Technicians,M,Black,1965,1990-12-16,N,Davidson,2024,59,55-59,1990,34
NS,30000.0,390,Asst District Attorney,District Attorney,Fulltime,Professionals,M,White,1952,1991-01-01,Y,Davidson,2024,72,70-74,1991,33
OR06,84445.8,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1964,1991-01-14,Y,Davidson,2024,60,60-64,1991,33
NS,66763.57,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,F,White,1959,1991-01-16,N,Cheatham,2024,65,65-69,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1969,1991-02-01,N,Davidson,2024,55,55-59,1991,33
FD09A,115752.83,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1968,1991-02-01,Y,Wilson,2024,56,55-59,1991,33
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1969,1991-02-01,N,Davidson,2024,55,55-59,1991,33
PS07B,138879.48,956,Police Captain,Police,Fulltime,Professionals,M,White,1966,1991-02-01,Y,Rutherford,2024,58,55-59,1991,33
PS03,83841.46,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1960,1991-02-01,N,Davidson,2024,64,60-64,1991,33
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1959,1991-02-01,N,Robertson,2024,65,65-69,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1967,1991-02-01,N,Cheatham,2024,57,55-59,1991,33
FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1991-02-01,N,Williamson,2024,61,60-64,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1969,1991-02-01,N,Davidson,2024,55,55-59,1991,33
OR13,174711.04,6004,Human Resources Asst Dir,Human Resources,Fulltime,Officials and administrators,F,White,1968,1991-02-01,Y,Davidson,2024,56,55-59,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
FD09,115752.82,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1991-02-01,N,Davidson,2024,62,60-64,1991,33
FD07B,110806.11,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1963,1991-02-01,N,Davidson,2024,61,60-64,1991,33
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1968,1991-02-01,N,Cheatham,2024,56,55-59,1991,33
FD07B,110806.11,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1966,1991-02-01,N,Wilson,2024,58,55-59,1991,33
FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1968,1991-02-01,N,Davidson,2024,56,55-59,1991,33
PS03,83841.45,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1966,1991-02-01,N,Sumner,2024,58,55-59,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1962,1991-02-01,N,Davidson,2024,62,60-64,1991,33
FD07A,107670.09,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1962,1991-02-01,N,Davidson,2024,62,60-64,1991,33
OR05,86448.43,7245,Admin Svcs Officer 4,Assessor of Property,Fulltime,Professionals,F,White,1964,1991-02-01,N,Davidson,2024,60,60-64,1991,33
ST08,60144.59,220,Specialized Skills Instr,Parks,Fulltime,Professionals,M,Black,1961,1991-02-13,Y,Davidson,2024,63,60-64,1991,33
OR03,72445.0,5923,Special Programs Coord,Parks,Fulltime,Professionals,M,White,1971,1991-03-15,Y,Davidson,2024,53,50-54,1991,33
ST07,55152.6,10123,Office Support Spec 1,Health,Fulltime,Administrative support,F,Two or more,1964,1991-05-01,N,Davidson,2024,60,60-64,1991,33
OR04,74533.69,7753,Professional Spec,Public Defender,Fulltime,Professionals,F,Black,1964,1991-05-16,Y,Davidson,2024,60,60-64,1991,33
TS13,75282.48,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,M,White,1965,1991-05-20,N,Davidson,2024,59,55-59,1991,33
OR06,78846.62,7757,Technical Specialist 2,Water Services,Fulltime,Professionals,M,Black,1967,1991-05-20,Y,Davidson,2024,57,55-59,1991,33
ST09,65588.44,451,Golf Course Asst Mgr,Parks,Fulltime,Professionals,M,White,1972,1991-05-28,Y,Davidson,2024,52,50-54,1991,33
TG12,52541.83,10838,Equipment Operator Senior,Parks,Fulltime,Service/Maintenance,M,White,1963,1991-06-26,N,Rutherford,2024,61,60-64,1991,33
ST08,55518.19,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1967,1991-07-01,N,Davidson,2024,57,55-59,1991,33
ST08,60144.59,220,Specialized Skills Instr,Parks,Fulltime,Professionals,M,White,1970,1991-07-05,Y,Williamson,2024,54,50-54,1991,33
OR07,109363.62,7242,Admin Svcs Mgr,Assessor of Property,Fulltime,Officials and administrators,F,White,1969,1991-07-22,Y,Williamson,2024,55,55-59,1991,33
ST07,55152.6,7711,Sheriff Prisoner Processor 1,Sheriff,Fulltime,Administrative support,F,Black,1963,1991-08-01,N,Davidson,2024,61,60-64,1991,33
OR05,87656.13,5495,Probation Officer 3,General Sessions Court,Fulltime,Professionals,M,White,1967,1991-08-01,N,Wilson,2024,57,55-59,1991,33
OR11,111373.52,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,M,White,1971,1991-08-01,Y,Cannon,2024,53,50-54,1991,33
JS03,85056.0,7791,Judicial Asst 2,State Trial Courts,Fulltime,Protective service workers,M,White,1966,1991-08-01,Y,Sumner,2024,58,55-59,1991,33
OR11,125972.75,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,M,White,1966,1991-08-01,Y,Robertson,2024,58,55-59,1991,33
ST10,72445.0,10577,Sheriff Booking Supervisor,Sheriff,Fulltime,Professionals,M,Islander,1958,1991-08-01,Y,Rutherford,2024,66,65-69,1991,33
OR11,137120.81,10752,Facility Admin-DCSO,Sheriff,Fulltime,Officials and administrators,M,Black,1966,1991-08-01,Y,Sumner,2024,58,55-59,1991,33
OR05,82167.56,7144,Sheriff Warrant Officer 3,Sheriff,Fulltime,Protective service workers,M,Black,1964,1991-08-01,Y,Davidson,2024,60,60-64,1991,33
RD01,63228.89,10746,WO Data Entry Specialist-DCSO,Sheriff,Fulltime,Administrative support,F,Black,1962,1991-08-01,N,Davidson,2024,62,60-64,1991,33
FD10B,150164.46,430,Fire Asst Chief,Fire,Fulltime,Professionals,M,White,1960,1991-08-16,Y,Sumner,2024,64,60-64,1991,33
FD07,104534.05,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1970,1991-08-16,N,Davidson,2024,54,50-54,1991,33
FD05,90016.65,7307,Fire Engineer,Fire,Fulltime,Technicians,M,White,1963,1991-08-16,N,Maury,2024,61,60-64,1991,33
OR05,85553.57,7245,Admin Svcs Officer 4,Police,Fulltime,Professionals,F,White,1971,1991-08-16,N,Davidson,2024,53,50-54,1991,33
FD07B,110806.11,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1961,1991-08-16,N,Davidson,2024,63,60-64,1991,33
FD03,76225.4,7309,Fire Fighter 2,Fire,Fulltime,Protective service workers,M,White,1969,1991-08-16,N,Sumner,2024,55,55-59,1991,33
FD07,95663.47,7305,Fire Captain,Fire,Fulltime,Professionals,M,White,1967,1991-08-16,N,Cheatham,2024,57,55-59,1991,33
OR09,125373.28,11309,Director of Inmate Services-DCSO,Sheriff,Fulltime,Officials and administrators,F,Black,1969,1991-09-01,Y,Davidson,2024,55,55-59,1991,33
OR05,86721.44,4400,Appraiser 4,Assessor of Property,Fulltime,Officials and administrators,M,White,1968,1991-09-01,N,Cheatham,2024,56,55-59,1991,33
OR08,116872.22,10714,Crime Lab Asst Dir/Qual As Mgr,Police,Fulltime,Officials and administrators,F,Black,1959,1991-09-01,Y,Wilson,2024,65,65-69,1991,33
OR05,82126.97,7377,Program Mgr 2,Public Defender,Fulltime,Officials and administrators,F,White,1969,1991-09-01,Y,Davidson,2024,55,55-59,1991,33
ST09,65588.44,10726,Sheriff Supply Officer,Sheriff,Fulltime,Protective service workers,M,White,1962,1991-09-01,N,Davidson,2024,62,60-64,1991,33
OR11,162942.09,7176,Police Info Svcs Admin,Police,Fulltime,Officials and administrators,M,White,1966,1991-09-16,Y,Williamson,2024,58,55-59,1991,33
OR11,125977.03,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,M,White,1968,1991-10-01,Y,Cheatham,2024,56,55-59,1991,33
OR03,65588.44,11259,Data Compliance Technician,Human Resources,Fulltime,Professionals,F,White,1967,1991-10-01,N,Davidson,2024,57,55-59,1991,33
NS,119110.08,7931,Exec Asst - Office Mgr,Mayor's Office,Fulltime,Professionals,F,White,1960,1991-10-01,Y,Davidson,2024,64,60-64,1991,33
ST06,50574.92,11041,Office Support Rep Sr,Health,Fulltime,Administrative support,F,White,1957,1991-10-14,N,Davidson,2024,67,65-69,1991,33
TS05,56962.29,5460,Custodial Svcs Supv,Parks,Fulltime,Service/Maintenance,M,Black,1963,1991-10-25,N,Davidson,2024,61,60-64,1991,33
PS05B,113268.15,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1969,1991-11-01,N,Sumner,2024,55,55-59,1991,33
PS03B,88871.94,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1967,1991-11-01,N,Davidson,2024,57,55-59,1991,33
PS05B,113268.15,7366,Police Sergeant,Police,Fulltime,Technicians,M,Black,1964,1991-11-01,N,Davidson,2024,60,60-64,1991,33
